종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"385560","RISE KIS국고채30년Enhanced","64620","-1090","-1.66","64556.90","64400","64830","64375","32525","2101863226","633017520000","0","9796000","KIS 국고채30년Enhanced지수(시장가격)","5761.28","-89.63","-1.53"
"479520","RISE KOFR금리액티브(합성)","105125","10","0.01","105120.10","105120","105125","105120","4772","501640042","811039375000","0","7715000","KOFR 지수","1183.18","0.08","0.01"
"270800","RISE KQ고배당","16250","-210","-1.28","16288.15","16230","16385","16205","406","6619932","8937500000","0","550000","FnGuide KQ고배당포커스 지수","8046.71","-134.06","-1.64"
"292050","RISE KRX300","40820","-895","-2.15","40762.09","40625","41445","40505","2808","114722867","16328000000","0","400000","KRX 300","3857.92","-113.29","-2.85"
"388280","RISE K엔터&여행레저","7985","-165","-2.02","8013.02","8070","8100","7985","21357","171730204","34495200000","0","4320000","FnGuide K엔터&여행레저 지수","747.13","-16.56","-2.17"
"442550","RISE TDF2030액티브","14150","-105","-0.74","14157.14","14255","14255","14125","6934","98315250","15565000000","0","1100000","iSelect 전략적자산배분 TDF 2030 지수","2008.95","-8.51","-0.42"
"442560","RISE TDF2040액티브","15380","-85","-0.55","15355.61","15460","15460","15360","11033","169664196","27684000000","0","1800000","iSelect 전략적자산배분 TDF 2040 지수","2339.65","-9.55","-0.41"
"442570","RISE TDF2050액티브","16145","-160","-0.98","16119.84","16285","16285","16125","139739","2256722323","142076000000","0","8800000","iSelect 전략적자산배분 TDF 2050 지수","2520.45","-10.07","-0.40"
"234310","RISE V&S셀렉트밸류","26765","-440","-1.62","26737.13","26835","27120","26700","3039","81281960","13382500000","0","500000","FnGuide 셀렉트 밸류 지수","5326.89","-135.31","-2.48"
"241390","RISE V&S셀렉트밸류채권혼합","15480","-150","-0.96","15561.41","15590","15640","15445","39141","607150035","34056000000","0","2200000","FnGuide 셀렉트벨류 채권혼합지수","2661.49","-29.97","-1.11"
"300640","RISE 게임테마","7595","-405","-5.06","7594.04","7705","7705","7540","74131","563247945","26962250000","0","3550000","WISE 게임 테마 지수 (시장가격지수)","3629.80","-201.14","-5.25"
"266160","RISE 고배당","29845","-770","-2.52","29722.90","29600","30175","29550","109595","3261337160","231298750000","0","7750000","FnGuide 고배당포커스 지수","20900.49","-546.34","-2.55"
"481430","RISE 국고채10년액티브","101045","-845","-0.83","101143.37","101090","101185","100985","1290","130351305","131863725000","0","1305000","KAP 국고채 10년 지수(총수익)","111.09","0.00","0.00"
"114100","RISE 국고채3년","107270","-270","-0.25","107335.18","107285","107350","107235","11786","1264506145","178068200000","0","1660000","KTB INDEX(시장가격)","10236.89","-18.00","-0.18"
"282000","RISE 국고채3년선물인버스","113150","330","0.29","113139.03","113130","113150","113100","4","452510","51709550000","0","457000","국채선물지수","1214.79","-2.91","-0.24"
"451670","RISE 국채30년레버리지(합성)","17770","-490","-2.68","17771.85","18260","18260","17720","2591","46130745","8885000000","0","500000","KAP 국채30년 TR 지수(총수익)","89.51","-1.02","-1.13"
"295000","RISE 국채선물10년","52975","-400","-0.75","52996.72","53015","53015","52960","36","1907225","6039150000","0","114000","10년국채선물지수","1174.24","-9.15","-0.77"
"295020","RISE 국채선물10년인버스","57795","495","0.86","57762.87","57755","57795","57740","18","1039565","113393790000","0","1962000","10년국채선물지수","1174.24","-9.15","-0.77"
